"LAW_CD","EMD_CD","GU_NM","LAW_NM"
"1111016700","11110167",종로구,충신동
"1111016800","11110168",종로구,동숭동
"1111016900","11110169",종로구,혜화동
"1111017000","11110170",종로구,명륜1가
"1111017100","11110171",종로구,명륜2가
"1111017200","11110172",종로구,명륜4가
"1111017300","11110173",종로구,명륜3가
"1111017400","11110174",종로구,창신동
"1111017500","11110175",종로구,숭인동
"1111017600","11110176",종로구,교남동
"1111017700","11110177",종로구,평동
"1111017800","11110178",종로구,송월동
"1111017900","11110179",종로구,홍파동
"1111018000","11110180",종로구,교북동
"1111018100","11110181",종로구,행촌동
"1111018200","11110182",종로구,구기동
"1111018300","11110183",종로구,평창동
"1111018400","11110184",종로구,부암동
"1111018500","11110185",종로구,홍지동
"1111018600","11110186",종로구,신영동
"1111018700","11110187",종로구,무악동
"1114010100","11140101",중구,무교동
"1114010200","11140102",중구,다동
"1114010300","11140103",중구,태평로1가
"1114010400","11140104",중구,을지로1가
"1114010500","11140105",중구,을지로2가
"1114010600","11140106",중구,남대문로1가
"1114010700","11140107",중구,삼각동
"1114010800","11140108",중구,수하동
"1114010900","11140109",중구,장교동
"1114011000","11140110",중구,수표동
"1114011100","11140111",중구,소공동
"1114011200","11140112",중구,남창동
"1114011300","11140113",중구,북창동
"1114011400","11140114",중구,태평로2가
"1114011500","11140115",중구,남대문로2가
"1114011600","11140116",중구,남대문로3가
"1114011700","11140117",중구,남대문로4가
"1114011800","11140118",중구,남대문로5가
"1114011900","11140119",중구,봉래동1가
"1114012000","11140120",중구,봉래동2가
"1114012100","11140121",중구,회현동1가
"1114012200","11140122",중구,회현동2가
"1114012300","11140123",중구,회현동3가
"1114012400","11140124",중구,충무로1가
"1114012500","11140125",중구,충무로2가
"1114012600","11140126",중구,명동1가
"1114012700","11140127",중구,명동2가
"1114012800","11140128",중구,남산동1가
"1114012900","11140129",중구,남산동2가
"1114013000","11140130",중구,남산동3가
"1114013100","11140131",중구,저동1가
"1114013200","11140132",중구,충무로4가
"1114013300","11140133",중구,충무로5가
"1114013400","11140134",중구,인현동2가
"1114013500","11140135",중구,예관동
"1114013600","11140136",중구,묵정동
"1114013700","11140137",중구,필동1가
"1114013800","11140138",중구,필동2가
"1114013900","11140139",중구,필동3가
"1114014000","11140140",중구,남학동
"1114014100","11140141",중구,주자동
"1114014200","11140142",중구,예장동
"1114014300","11140143",중구,장충동1가
"1114014400","11140144",중구,장충동2가
"1114014500","11140145",중구,광희동1가
"1114014600","11140146",중구,광희동2가
